order_id,customer_id,order_date,product_id,quantity,price_per_unit
fe7936d1-e1d7-4dbd-8af7-f611e878a48c,d89361e1-c0d7-444c-af5e-062f5b7df5d8,2022-10-15,0b22e4da-115f-44ed-9941-47862ecbc027,2,7.38
a429769a-9f38-43ec-af7b-0fb3a61e4138,c003a139-5af1-4bea-8c79-0ba014056956,2022-12-02,80045c84-3e6d-4d8a-b2b1-ea36cbcc01ec,4,18.26
7b2a8ddc-c8a6-4702-99db-712c85887a40,e9e12fd1-2ad1-4ba9-93fd-06c989425ff2,2023-05-12,232a1e81-1e73-435e-ba84-04ca8f624767,9,13.26
7fe096fa-9a11-476b-b6ec-a5ae18b3a7a5,83d50b28-1230-4cab-8da7-b72c17b2baed,2023-12-19,37ab904d-b639-4db5-ab4a-68612c7ce808,1,13.9
4546ae35-5a38-4aef-91b1-7d4ab5b946c3,3626c0da-1f8c-4cc5-b5be-dea6f3b20bec,2023-09-24,0be947da-a513-42ad-a35d-1ffe9b13a61d,10,7.52
ddf33d61-ef09-48e3-99e6-26bf53ccdb15,2411c86c-250d-41f7-9549-cf321c3d1dc7,2024-09-05,a38755d6-b717-49e4-a313-aff8fa354043,9,44.85
cc539661-e4e8-4b2d-ada3-00de258f8d17,INVALID_ID,2024-02-11,1729ef73-5af8-4750-a118-076c34fd2a07,5,81.9
706af248-493e-43d3-aa32-e2b6d0f11126,da8c66d3-b7f8-428d-aecc-e84aa33187d4,2024-02-14,3127f2f1-be1c-4814-ba00-4952214d8787,6,14.71
8620602c-745b-4a18-b62e-efe48d6c94cf,6c5024ac-a252-4994-a6cc-12467b5cafe5,2024-07-17,5e4e1eee-f8f5-453b-901b-6ee6beec4bac,6,85.51
f11f7512-db20-4dbb-8952-9a8e0d70a060,42a6c786-025b-4536-a067-88f7b112e2c2,2024-02-20,8c82b10a-c38d-4e16-b9ca-880b0ab23611,1,74.32
5fa514fb-e775-42ac-a28b-ed228338cd0e,32ea40bb-7721-490e-96af-116acdd3fc96,2024-07-04,e05cef11-b463-41c2-a495-d8fb60f2b987,7,12.49
4042bcb9-836f-4d68-a990-1ea19b742304,268a6efb-bc96-44fd-8c17-6c19225ca729,2023-09-28,9ccf8147-cf4f-4704-87c3-a6816669a087,10,89.12
cd3fbdea-3f9d-4580-ac2e-132e4971d915,1a5b1091-edb7-4e7d-88f2-00582f915a83,while,a7b4dd78-d2bb-43e2-8f1d-16172923f04f,4,71.93
22c50218-9651-4301-858c-fdb8aa76f707,81eaedc7-0155-4edd-b570-0fe70d3bd695,2023-11-29,cd448e6d-e19d-4675-a164-44e34ef15b64,5,98.6
30168902-0e15-44a7-b6b3-e194176580a8,e5b7f474-4ede-4ebf-9e58-ea7221212fa8,2024-06-26,4e1d0be2-7c25-413d-bc08-82157fc7a34a,2,41.11
2a1baa70-e1b0-49d2-8826-5153790290e3,7f78ceb3-440d-4ea3-8de0-f3fa1bfc8302,2023-11-27,b944113c-e0e0-4afb-903a-8e102aa6ff24,6,20.45
a9662436-2d6d-43ad-83bc-c0939fc19d06,85123004-3c93-4523-87b9-d97f37074250,2022-09-17,214d069a-5550-45c9-88db-cda01fd2a22c,5,71.67
3d829c63-6b5e-456a-a905-59e026eab6d9,4ec7922a-57d3-41a0-b394-70e1135e55de,2023-01-25,24fd45aa-9b20-4b6d-aba3-44cbf8a19d94,2,62.87
c9a18e4f-6787-4593-bd2f-765558e7cbfb,59767278-27a0-4cbf-a4f1-115c2121a16d,,5ef4e010-a6f8-4ea2-a3a4-68c67352279f,4,20.52
cb54c186-f8fa-43f6-8b70-4ebf47f7413b,65576d53-64dc-4a3f-87af-ac254d236543,2023-06-08,ce246f82-677f-419e-ad82-3bc28d1b615a,9,25.86
fbe5ed2c-38ad-41ec-905f-7744e3141bd7,7c10d2ef-a2af-4abf-a455-86bd3c38422e,2022-09-22,a80206a2-4a69-4d5b-9127-6880022e16cc,1,
85acc71c-b501-4024-9444-d32bcb530260,0565c508-e68b-4ac9-a2bd-556a8d17f663,2023-11-23,d097471a-e316-4193-9d8f-fdf24a023c82,4,91.75
423df472-15b1-43cf-a708-56e91957b271,d3acdcc7-94e8-4554-9132-4f140a37b51a,2024-02-25,5cd4ab93-3242-4cf8-9e48-c47e8e5ec198,6,25.2
96da92ba-7f1e-4c24-b7e0-3334c17d59fc,8c8ff3a2-c0ce-4823-8a87-e567eef03aa8,2024-02-13,6557629a-e1fd-4d39-9d44-dd3944a112be,8,18.57
86578b76-b66f-4d51-af40-b80f3305adb8,67ff43ec-d10d-457d-8859-51ba34850dd8,2024-05-01,94b47de3-2f1d-455f-ac1d-25eb81d7168d,9,56.2
388a2f3f-7ae5-4570-bdce-5e68be5abf4c,5de602d1-692f-40f2-b4bd-cd621a2f65fc,2024-06-07,b78cdad8-68f2-402c-8eff-f956222221f7,7,90.29
f052b0ea-5045-4dc9-b4f7-1f6163091b20,ea9a4b57-3733-4c3e-96d8-80b6c33e4c8a,2023-07-07,80394094-03d1-417e-a57b-08ae756580cd,4,99.75
db183b8d-8470-4fea-a1d8-e2bad9aa8de0,d28dad5f-6573-4885-bb14-84157f6aa772,along,9aa2d8bc-7562-467e-b345-d352740af926,8,13.64
2e86ca05-a020-4477-a21e-c5e87dd58572,6086147b-577b-4d9b-9ce0-0addaa5c329e,2023-03-18,c84695f0-3bd7-4aed-8c12-3b91c46333ef,3,80.25
90864fc5-f925-4ad4-9e56-de3c61dc4cdc,b4b19ee2-4bd9-4de2-af23-ba082db5c07a,2023-03-18,e42b8a74-c2cd-4115-904b-0597592e7777,2,41.55
e6515747-12f2-4bb5-a111-5f70326439f9,92e1e35f-f3d8-4a46-9c16-54828786f034,2023-05-19,d288e950-3a35-40db-94c4-f3fed9643d2c,8,55.27
cefec403-23d3-4822-a559-d7cbcdfec289,7fc4135f-8532-45f7-8fe8-b8417976fe58,2024-09-11,88bd8a91-668c-47ee-9370-33540f1cdf44,1,69.63
6158e0a6-311e-49e9-9bd4-af7878e0736d,2ee7ae0e-0129-48ca-aee0-def0d7970362,2023-08-25,df89861d-0b01-400f-957e-4bfd49486a7c,9,76.33
5bb84f81-09f9-4f19-8527-969f1ee01bee,55467810-42ec-42b7-8b1d-0de708f77e35,2022-09-27,d89045a0-e3f0-4bda-8d4e-67bd13fee7af,6,15.6
bc266950-4fd9-4633-b96c-9f5fe6042a7e,1fcce943-8e21-4a4e-bbee-ccf9cadb8081,2023-11-23,c22f5a4e-9e6b-43ba-999b-201b264fd71d,8,5.31
ae51209e-1937-45f1-9417-78b69e1275fa,e861e405-aa8b-4272-a1b3-4d41e72e1b86,2024-07-12,025e996b-8971-4b39-b31e-76d2c3ee804b,5,97.33
6d4b676d-1201-4a18-b049-5c269d5c70f0,b88e78d3-5a39-4a8f-bbab-03bbb4d24496,2024-04-05,9fc4bd3d-a5fb-416c-9a5b-3f90a10a7aa6,9,91.7
cfb4c25f-667c-4043-9c3f-1da82f84e9c4,cf4e4cd0-aa6d-4a71-a687-c0a1f8db8e57,2022-10-23,d03fc094-50bf-43af-9b3d-2ec3bed3c135,5,84.96
f9a1230c-a99a-4626-aac6-3412579121f1,dd3ad9f3-9f0a-4f8b-87ef-29654af0ffa6,2023-04-18,af8f3859-0a24-4af5-952e-2a27f3ea3ef6,4,19.52
3604a9f8-81be-453d-8cca-64888356a068,dff2a8ae-01c2-4908-ac4c-d3dffef42fe8,2022-11-01,927750e7-e466-4b24-b976-720a62662ab6,9,95.58
bcd339b9-57a6-4644-9ff7-77a50b8b9901,97a5a01b-f06a-47aa-9aa3-2c87f4825060,2022-12-20,94b01f3f-0066-4a5b-8dbe-b5258bf52d1c,1,61.9
a548931d-919d-4cf4-b868-75b5824a6915,c2225fc0-7966-41ec-8258-d9682a9e8dd5,2023-01-03,adf03c44-1e3b-4605-ab33-a6b68450402f,2,93.26
c035e5f3-070d-4503-9df8-40e292b26e87,97f9ed10-9eb7-4410-a01a-14fcbc3c2ea9,2022-12-13,0c34f8f8-6e67-4fc9-950f-c86a0aad07cb,5,27.75
5dfb47ef-e6db-4783-8ec3-6c350c317df8,5dfad591-7344-4281-85df-cfe446ae3e8d,2022-10-27,fe348fe7-e7cf-46fa-b332-6712f12d58fb,10,94.96
f7c7c370-bc4a-483a-9f52-0fe19a5106ff,09ad69ac-8909-461a-b2b4-6e35dbdc85d2,2023-09-08,1c3cde68-d323-4dcf-bdec-32a0b04664bd,8,82.52
b83fde9b-0657-4e15-8e54-829c820a9b13,42a6bfc6-20fe-4af1-a8af-1be10d3c6e90,2024-08-24,72d33f94-a569-4908-a6fd-7deecce9e180,9,77.75
523264be-7e8b-4b37-befb-aaf98404442d,abb1c9da-df2f-49be-a15c-97d2b5d733ba,2023-09-23,00ead009-7544-4a63-9eba-6b545d1f4978,8,94.95
97542dd6-f11a-4bf8-9818-5ce4b9729070,59a15895-1699-484b-bceb-9b587b999506,2023-10-25,4764d7e8-1419-4843-951f-158b7498f914,9,87.88
0de5a902-b66e-4710-8409-1aa67b9eb518,3bc43285-763f-4fc8-857d-7cb4ef9926c6,2023-07-20,a7c72d90-42ee-4d80-8915-9dd57134cb60,4,93.25
7c135df1-e6ae-4aae-91f3-097054afb5e7,fe28cb71-9b32-447e-a07a-b3f7b7e9f0f7,2022-11-16,ba9f13ca-05a8-4300-bf4c-f29dcac4be2b,4,72.73
46502a8a-bf19-48fc-b1a5-981d6c3d63c2,61d9882e-f02f-456f-b4fe-2a6d7c3aedf4,2024-05-09,d17bf2fb-0115-48d7-9319-f0e16b7e0a3f,6,46.62
9737d77f-fc88-431c-a8a5-cd324e5eacc8,7fe7a44c-be78-4ec0-aa7c-00bf4a11335a,2023-01-21,fe39c357-0903-4adc-8da9-d8cc598affd5,2,28.55
090774c1-67f9-4ca4-98c3-d5bfd1291b5e,f9144f6f-df18-445b-ad15-8aba45107abd,2024-01-01,87b36188-b912-4233-8ab0-e5d1f97d8831,1,60.89
df920ae8-99c2-405e-a504-e8528374c071,d8401aef-fa72-4160-9b34-600be27522a3,2023-10-23,30d04892-ea00-4511-9914-aa01623331a6,4,5.68
d8761e6c-c553-41ec-a5c3-c2bc9cd5b315,6892a804-d0fc-4bce-b66f-a413dee683fe,2022-12-09,5a3fe25d-b29a-4396-af3e-735b4a95a5d2,1,26.75
